ID,Publisher,Time,Author,Title
3405,Knopf Doubleday Publishing Group,09/27/2005,Philip Roth,The Plot Against America
3406,"Grove/Atlantic, Inc.",05/10/2011,Karl Marlantes,Matterhorn: A Novel of the Vietnam War
3407,Washington Square Press,08/05/2008,Jodi Picoult,Second Glance
3408,Counterpoint Press,07/11/2017,Eve Babitz,Sex and Rage
3409,Picador,02/17/2009,Denis Johnson,Jesus' Son
3410,"Little, Brown and Company",02/21/2017,Adam Haslett,Imagine Me Gone
3411,Picador,01/09/2018,Andre Aciman,Enigma Variations: A Novel
3412,Picador,04/27/2009,Jeffrey Eugenides,The Virgin Suicides
3413,Scribner,02/16/2016,Ernest Hemingway,The Sun Also Rises: The Hemingway Library Edition
3414,Algonquin Books of Chapel Hill,01/12/2010,Julia Alvarez,How the Garcia Girls Lost Their Accents
3415,Algonquin Books of Chapel Hill,11/14/2017,Susan Rivers,The Second Mrs. Hockaday: A Novel
3416,"Norton, W. W. & Company, Inc.",01/23/2018,Dara Horn,Eternal Life
3417,Scribner,10/06/2015,Anthony Doerr,About Grace: A Novel
3418,Crown/Archetype,03/28/2017,Anne Tyler,Vinegar Girl: A Novel
3419,Knopf Doubleday Publishing Group,11/04/2014,Wallace Stegner,Angle of Repose
3420,HarperCollins Publishers,11/07/2017,Ivy Pochoda,Wonder Valley
3421,"Grove/Atlantic, Inc.",07/16/2013,William S. Burroughs Jr.,Naked Lunch
3422,HarperCollins Publishers,05/08/2012,Ann Patchett,State of Wonder
3423,Picador,04/03/2018,Julie Buntin,Marlena
3424,Knopf Doubleday Publishing Group,05/03/2005,Kent Haruf,Eventide
3425,Random House Publishing Group,01/28/1999,Kurt Vonnegut,Player Piano
3426,Penguin Publishing Group,04/10/2014,John Steinbeck,The Grapes of Wrath 75th Anniversary Edition
3427,"Norton, W. W. & Company, Inc.",09/17/1999,Chuck Palahniuk,Invisible Monsters: A Novel / Edition 1
3428,Knopf Doubleday Publishing Group,09/12/2013,James Baldwin,Go Tell It on the Mountain
3429,HarperCollins Publishers,03/06/2018,Uzodinma Iweala,Speak No Evil
3430,Penguin Publishing Group,06/24/2014,Elizabeth Gilbert,The Signature of All Things
3431,Touchstone,01/16/2018,Jonathan Santlofer,It Occurs to Me That I Am America: New Stories and Art
3432,Scribner,03/28/1996,Ernest Hemingway,To Have and Have Not
3433,Barnes & Noble,12/01/2004,Mark Twain,Prince and the Pauper (Barnes & Noble Classics Series)
3434,Grand Central Publishing,04/28/1994,Rudolfo Anaya,"Bless Me, Ultima"
3435,Barnes & Noble,04/01/2005,Kate Chopin,The Awakening and Selected Short Fiction (Barnes & Noble Classics Series)
3436,Random House Publishing Group,03/26/2002,Pat Conroy,The Prince of Tides
3437,Scribner,07/05/2011,Anthony Doerr,Memory Wall
3438,"Little, Brown and Company",07/11/2007,Daniel Woodrell,Winter's Bone: A Novel
3439,Barnes & Noble,09/01/2005,Mark Twain,A Connecticut Yankee in King Arthur's Court (Barnes & Noble Classics Series)
3440,Spark,07/10/2009,SparkNotes,The Scarlet Letter (No Fear Literature Series)
3441,HarperCollins Publishers,04/05/2005,Ray Bradbury,Bradbury Stories: 100 of His Most Celebrated Tales
3442,HarperCollins Publishers,09/02/2014,Thornton Wilder,The Bridge of San Luis Rey
3443,Counterpoint Press,01/05/2010,Evan S. Connell,Mrs. Bridge
3444,Houghton Mifflin Harcourt,04/21/2004,Carson McCullers,The Heart Is a Lonely Hunter
3445,Random House Publishing Group,07/01/2014,Marisha Pessl,Night Film
3446,Penguin Publishing Group,12/30/2008,Geraldine Brooks,People of the Book: A Novel
3447,Penguin Publishing Group,08/03/2010,Theodore Dreiser,An American Tragedy
3448,Houghton Mifflin Harcourt,10/04/2016,Junot Díaz,The Best American Short Stories 2016
3449,Houghton Mifflin Harcourt,02/06/2018,Azareen Van der Vliet Oloomi,Call Me Zebra
3450,Knopf Doubleday Publishing Group,10/31/2017,Mark Z. Danielewski,"The Familiar, Volume 5: Redwood"
3451,"Norton, W. W. & Company, Inc.",12/28/1998,Mark Twain,Adventures of Huckleberry Finn: A Norton Critical Edition / Edition 3
3452,Picador,06/06/2017,Jonathan Safran Foer,Here I Am: A Novel
3453,"Grove/Atlantic, Inc.",01/06/1994,Henry Miller,Tropic of Cancer
3454,"Grove/Atlantic, Inc.",10/08/2013,Sherman Alexie,The Lone Ranger and Tonto Fistfight in Heaven (20th Anniversary Edition)
3455,Barnes & Noble,07/01/2004,Willa Cather,O Pioneers! (Barnes & Noble Classics Series)
3456,Counterpoint Press,11/09/2005,Wendell Berry,Hannah Coulter
3457,New Directions Publishing Corporation,11/28/2017,Rachel Ingalls,Mrs. Caliban
3458,Penguin Publishing Group,01/28/1986,Don DeLillo,White Noise
3459,Dover Publications,01/01/1991,Henry James,The Turn of the Screw
3460,Scribner,04/10/2018,F. Scott Fitzgerald,I'd Die For You: And Other Lost Stories
3461,Houghton Mifflin Harcourt,09/06/2016,Margaret Walker,Jubilee (50th Anniversary Edition)
3462,"Grove/Atlantic, Inc.",08/09/2016,Jim Harrison,Legends of the Fall
3463,Tin House Books,03/07/2017,Annie Hartnett,Rabbit Cake
3464,Knopf Doubleday Publishing Group,01/25/2011,Julie Orringer,The Invisible Bridge
3465,HarperCollins Publishers,07/29/2014,Charles Bukowski,Post Office
3466,Random House Publishing Group,08/01/2017,Jenny Zhang,Sour Heart
3467,Penguin Publishing Group,02/24/2015,Phil Klay,Redeployment
3468,Penguin Publishing Group,05/03/2011,Jean Kwok,Girl in Translation
3469,Random House Publishing Group,01/30/2018,Hannah Tinti,The Twelve Lives of Samuel Hawley
3470,"Farrar, Straus and Giroux",06/06/2017,Catherine Lacey,The Answers
3471,"Farrar, Straus and Giroux",07/18/2017,Samantha Hunt,The Dark Dark
3472,Knopf Doubleday Publishing Group,06/28/2002,Katherine Dunn,Geek Love
3473,Picador,08/28/2000,Norman Mailer,The Naked and the Dead (50th Anniversary Edition)
3474,Crown/Archetype,02/04/2014,Anthony Marra,A Constellation of Vital Phenomena
3475,Knopf Doubleday Publishing Group,05/01/2000,John Cheever,The Stories of John Cheever
3476,Barnes & Noble,09/01/2003,O. Henry,Selected Stories of O. Henry (Barnes & Noble Classics Series)
3477,HarperCollins Publishers,05/07/2013,Barbara Kingsolver,The Bean Trees: A Novel
3478,Touchstone,12/27/2011,Claude Brown,Manchild in the Promised Land
3479,Knopf Doubleday Publishing Group,03/28/1992,Sandra Cisneros,Woman Hollering Creek and Other Stories
3480,Knopf Doubleday Publishing Group,03/11/2014,Toni Morrison,Paradise
3481,Knopf Doubleday Publishing Group,06/28/1998,Richard Russo,Straight Man
3482,"Little, Brown and Company",05/01/2013,J. D. Salinger,Nine Stories
3483,Random House Publishing Group,06/05/2007,Charles Frazier,Thirteen Moons
3484,Penguin Publishing Group,07/21/2015,Tiphanie Yanique,Land of Love and Drowning
3485,Penguin Publishing Group,08/26/2008,John Steinbeck,The Winter of Our Discontent
3486,Penguin Publishing Group,10/31/2006,Jack Kerouac,The Dharma Bums: (Penguin Classics Deluxe Edition)
3487,"Little, Brown and Company",04/03/2006,Luis Alberto Urrea,The Hummingbird's Daughter
3488,Random House Publishing Group,03/28/1981,Stephen Crane,The Red Badge of Courage
3489,Knopf Doubleday Publishing Group,02/01/1991,William Faulkner,"Absalom, Absalom!"
3490,Knopf Doubleday Publishing Group,02/28/1998,Philip Roth,American Pastoral (American Trilogy #1)
3491,Barnes & Noble,06/01/2008,Sinclair Lewis,Main Street (Barnes & Noble Classics Series)
3492,Barnes & Noble,07/01/2005,Mark Twain,Pudd'nhead Wilson and Those Extraordinary Twins (Barnes & Noble Classics Series)
3493,Picador,08/02/2016,Lucia Berlin,A Manual for Cleaning Women: Selected Stories
3494,HarperCollins Publishers,08/04/1999,O. E. Rolvaag,Giants in the Earth: A Saga of the Prairie
3495,Houghton Mifflin Harcourt,08/23/1977,Flannery O'Connor,A Good Man Is Hard to Find and Other Stories
3496,Algonquin Books of Chapel Hill,08/26/2008,Roland Merullo,Breakfast with Buddha
3497,Random House Publishing Group,01/28/1999,Kurt Vonnegut,Galápagos
3498,Kensington,08/01/2010,Zane Grey,Riders of the Purple Sage
3499,Penguin Publishing Group,06/06/2017,Maile Meloy,Do Not Become Alarmed
3500,Crown/Archetype,03/13/2018,Jonathan Miles,Anatomy of a Miracle
3501,Dover Publications,11/30/2011,F. Scott Fitzgerald,The Beautiful and the Damned
3502,Knopf Doubleday Publishing Group,11/21/2017,Elliot Ackerman,Dark at the Crossing
3503,HarperCollins Publishers,01/28/2014,Philipp Meyer,The Son
3504,Grand Central Publishing,05/08/2012,Norman Mailer,The Executioner's Song
3505,Open Road Integrated Media LLC,06/03/2014,Harlan Ellison,I Have No Mouth and I Must Scream
3506,Knopf Doubleday Publishing Group,04/11/2006,Chuck Palahniuk,Haunted
3507,Penguin Publishing Group,02/06/2018,Katie Kitamura,A Separation
3508,Random House Publishing Group,04/28/1990,Tom Robbins,Jitterbug Perfume
3509,"Grove/Atlantic, Inc.",03/06/2018,Charmaine Craig,Miss Burma
3510,HarperCollins Publishers,10/17/2006,Thomas Pynchon,The Crying of Lot 49
3511,"Wordsworth Editions, Limited",12/01/1999,Herman Melville,Moby Dick or The Whale
3512,Random House Publishing Group,11/01/2011,Téa Obreht,The Tiger's Wife
3513,Knopf Doubleday Publishing Group,06/28/1989,Raymond Carver,What We Talk about When We Talk about Love
3514,HarperCollins Publishers,04/10/2007,Paulette Jiles,Enemy Women: A Novel
3515,Knopf Doubleday Publishing Group,10/10/2006,James Baldwin,If Beale Street Could Talk
3516,Scribner,06/09/1994,Annie Proulx,The Shipping News
3517,"Little, Brown and Company",05/02/2017,Joshua Ferris,The Dinner Party: And Other Stories
3518,Atria / 37 INK,04/10/2018,Nafissa Thompson-Spires,Heads of the Colored People
3519,Knopf Doubleday Publishing Group,10/28/2003,Donna Tartt,The Little Friend
3520,Barnes & Noble,03/01/2004,Edith Wharton,Ethan Frome & Selected Stories (Barnes & Noble Classics Series)
3521,Knopf Doubleday Publishing Group,11/11/2003,Shirley Ann Grau,The Keepers of the House
3522,Knopf Doubleday Publishing Group,10/14/2003,Julie Otsuka,When the Emperor Was Divine
3523,Scribner,07/09/1998,Don DeLillo,Underworld
3524,Houghton Mifflin Harcourt,04/14/2015,Jonathan Safran Foer,Everything Is Illuminated
3525,Penguin Publishing Group,09/28/1996,T. C. Boyle,The Tortilla Curtain
3526,Bloomsbury USA,06/06/2017,Gail Godwin,Grief Cottage
3527,Algonquin Books of Chapel Hill,01/11/2011,Heidi W. Durrow,The Girl Who Fell from the Sky
3528,Picador,08/27/2002,Jonathan Franzen,The Corrections
3529,HarperCollins Publishers,07/15/2014,Amy Tan,The Valley of Amazement
3530,Knopf Doubleday Publishing Group,11/01/2005,Anne Tyler,Breathing Lessons
3531,Knopf Doubleday Publishing Group,04/07/2009,Jhumpa Lahiri,Unaccustomed Earth
3532,Knopf Doubleday Publishing Group,05/12/2015,Mark Z. Danielewski,"The Familiar, Volume 1: One Rainy Day in May"
3533,Random House Publishing Group,03/22/2016,Sara Novic,Girl at War
3534,HarperCollins Publishers,04/13/2010,Willy Vlautin,Lean on Pete
3535,Penguin Publishing Group,10/02/2012,Louisa May Alcott,Little Men
3536,Touchstone,03/25/1997,Ursula Hegi,Stones from the River
3537,Vintage Wild,04/22/2016,Robert M. Drake,Beautiful and Damned
3538,Houghton Mifflin Harcourt,06/28/2005,Mark Helprin,Winter's Tale
3539,HarperCollins Publishers,06/04/2013,Barbara Kingsolver,Flight Behavior
3540,HarperCollins Publishers,08/22/2000,Edna Ferber,Giant
3541,Scribner,10/10/2006,Thomas Wolfe,"Look Homeward, Angel"
3542,Knopf Doubleday Publishing Group,07/15/2014,Chuck Palahniuk,Doomed
3543,Knopf Doubleday Publishing Group,01/12/2010,Lorrie Moore,Birds of America
3544,HarperCollins Publishers,04/29/2008,Michael Chabon,The Yiddish Policemen's Union
3545,HarperCollins Publishers,07/05/2005,Pat Frank,"Alas, Babylon"
3546,Barnes & Noble,07/01/2005,James Fenimore Cooper,The Deerslayer (Barnes & Noble Classics Series)
3547,Barnes & Noble,09/01/2005,Sinclair Lewis,Babbitt (Barnes & Noble Classics Series)
3548,HarperCollins Publishers,05/07/2013,Barbara Kingsolver,Pigs in Heaven: A Novel
3549,Knopf Doubleday Publishing Group,05/28/1999,Cormac McCarthy,Cities of the Plain (Border Trilogy Series #3)
3550,Random House Publishing Group,03/28/2002,Pat Conroy,The Lords of Discipline
3551,Penguin Publishing Group,11/28/2005,Sherwood Anderson,"Winesburg, Ohio"
3552,Random House Publishing Group,09/09/2014,James A. Michener,Tales of the South Pacific
3553,Knopf Doubleday Publishing Group,07/21/2015,Chuck Palahniuk,Beautiful You
3554,Penguin Publishing Group,07/02/2013,Mark Twain,The Adventures of Tom Sawyer and Adventures of Huckleberry Finn
3555,Random House Publishing Group,09/28/1998,Kurt Vonnegut,Welcome to the Monkey House
3556,Counterpoint Press,12/13/2016,Abby Geni,The Lightkeepers
3557,Houghton Mifflin Harcourt,04/19/2011,Ann Patchett,The Patron Saint of Liars
3558,Knopf Doubleday Publishing Group,10/02/2012,Chuck Palahniuk,Damned
3559,Picador,12/20/2016,Garth Greenwell,What Belongs to You
3560,Picador,11/01/2004,Marilynne Robinson,Housekeeping
3561,HarperCollins Publishers,02/06/2018,Joyce Carol Oates,Beautiful Days
3562,Knopf Doubleday Publishing Group,03/20/2012,Julie Otsuka,The Buddha in the Attic
3563,"Little, Brown and Company",11/01/2016,Elizabeth Poliner,As Close to Us as Breathing: A Novel
3564,Knopf Doubleday Publishing Group,09/05/2017,Laura Furman,The O. Henry Prize Stories 2017
3565,Random House Publishing Group,11/28/1996,Truman Capote,A Christmas Memory / One Christmas / The Thanksgiving Visitor
3566,Random House Publishing Group,09/08/1998,Kurt Vonnegut,"God Bless You, Mr. Rosewater, or Pearls before Swine"
3567,Picador,02/06/2018,John Darnielle,Universal Harvester
3568,HarperCollins Publishers,02/24/2015,Rene Denfeld,The Enchanted: A Novel
3569,HarperCollins Publishers,07/20/2010,Barbara Kingsolver,The Lacuna
3570,Penguin Publishing Group,08/01/2017,Danzy Senna,New People
3571,Crown/Archetype,09/28/1999,Tim O'Brien,Going after Cacciato
3572,Penguin Publishing Group,10/18/2016,Karan Mahajan,The Association of Small Bombs
3573,"Little, Brown and Company",04/15/1992,Herman Wouk,The Caine Mutiny
3574,HarperCollins Publishers,10/03/2017,T. C. Boyle,The Relive Box and Other Stories
3575,Knopf Doubleday Publishing Group,04/19/2016,Chuck Palahniuk,Make Something Up: Stories You Can't Unread
3576,Dover Publications,10/26/2004,Nella Larsen,Passing
3577,Random House Publishing Group,08/03/2004,Fannie Flagg,Standing in the Rainbow
3578,Random House Publishing Group,03/26/2002,Pat Conroy,Beach Music
3579,"Little, Brown and Company",04/30/2013,Kevin Powers,The Yellow Birds
3580,Knopf Doubleday Publishing Group,05/28/1992,Cormac McCarthy,Suttree
3581,Knopf Doubleday Publishing Group,04/28/1994,Richard Russo,Nobody's Fool
3582,HarperCollins Publishers,08/23/2016,Louise Erdrich,Love Medicine
3583,"Farrar, Straus and Giroux",07/28/2003,Bernard Malamud,The Natural
3584,HarperCollins Publishers,09/09/2014,Paul Bowles,Sheltering Sky
3585,Random House Publishing Group,06/12/2012,Charles Frazier,Nightwoods
3586,HarperCollins Publishers,05/25/2004,Edward P. Jones,The Known World: A Novel
3587,Penguin Publishing Group,06/28/1992,Jack Kerouac,Big Sur
3588,Knopf Doubleday Publishing Group,07/29/2003,Chuck Palahniuk,Lullaby
3589,HarperCollins Publishers,10/16/2001,Barbara Kingsolver,Prodigal Summer
3590,Penguin Publishing Group,08/16/2016,Ottessa Moshfegh,Eileen
3591,Random House Publishing Group,11/28/2000,William Faulkner,As I Lay Dying: The Corrected Text (Modern Library Series)
3592,Random House Publishing Group,06/28/1997,John Irving,The Cider House Rules
3593,"Farrar, Straus and Giroux",03/16/2005,Shirley Jackson,The Lottery: And Other Stories
3594,"Little, Brown and Company",06/16/2010,Luis Alberto Urrea,Into the Beautiful North
3595,Random House Publishing Group,02/09/2016,Kelly Link,Get in Trouble
3596,Random House Publishing Group,05/08/2007,E. L. Doctorow,Ragtime
3597,Picador,10/06/2015,Marilynne Robinson,Lila
3598,Knopf Doubleday Publishing Group,06/17/2014,Jhumpa Lahiri,The Lowland
3599,Crown/Archetype,07/19/2016,Anthony Marra,The Tsar of Love and Techno
3600,Knopf Doubleday Publishing Group,04/28/1997,Sapphire,Push
3601,Algonquin Books of Chapel Hill,05/15/2012,Daniel Wallace,Big Fish: A Novel of Mythic Proportions
3602,Picador,10/07/2014,Alice McDermott,Someone
3603,Knopf Doubleday Publishing Group,01/26/2016,Toni Morrison,God Help the Child
3604,Barnes & Noble,02/01/2005,Henry James,Wings of the Dove (Barnes & Noble Classics Series)
3605,Simon & Schuster,06/07/2016,John Irving,Avenue of Mysteries
3606,HarperCollins Publishers,03/06/2018,Jesse Ball,Census
3607,Penguin Publishing Group,10/25/2005,Edith Wharton,Ethan Frome
3608,Scribner,07/04/2017,Curtis Dawkins,The Graybar Hotel
3609,Random House Publishing Group,04/24/2018,Curtis Sittenfeld,"You Think It, I'll Say It"
3610,Coffee House Press,06/06/2017,Gabe Habash,Stephen Florida
3611,Simon & Schuster,06/05/2007,James Lee Burke,Jesus Out to Sea
3612,Knopf Doubleday Publishing Group,06/28/1989,Raymond Carver,Cathedral
3613,Penguin Publishing Group,07/28/1977,Ken Kesey,Sometimes a Great Notion
3614,Knopf Doubleday Publishing Group,12/28/1992,James Baldwin,Another Country
3615,Picador,04/29/2014,Cathleen Schine,Fin & Lady
3616,Penguin Publishing Group,02/25/2014,Karen Joy Fowler,We Are All Completely Beside Ourselves
3617,Random House Publishing Group,10/13/2015,Colum McCann,Thirteen Ways of Looking
3618,Houghton Mifflin Harcourt,09/01/2006,Tim O'Brien,In the Lake of the Woods
3619,Knopf Doubleday Publishing Group,03/28/1995,Cormac McCarthy,The Crossing (Border Trilogy Series #2)
3620,Knopf Doubleday Publishing Group,03/15/1992,William Styron,Sophie's Choice
3621,Tom Doherty Associates,02/16/2016,Victor LaValle,The Ballad of Black Tom
3622,Penguin Publishing Group,10/04/2016,Geraldine Brooks,The Secret Chord
3623,Penguin Publishing Group,08/05/2014,James McBride,The Good Lord Bird
3624,"Grove/Atlantic, Inc.",04/28/2007,Sherman Alexie,Flight
3625,Knopf Doubleday Publishing Group,11/28/1991,Willa Cather,One of Ours
3626,Random House Publishing Group,04/28/1990,Tom Robbins,Still Life with Woodpecker
3627,"Norton, W. W. & Company, Inc.",10/06/2014,Molly Antopol,The UnAmericans
3628,HarperCollins Publishers,06/07/2011,Jeannette Haien,The All of It: A Novel
3629,"Grove/Atlantic, Inc.",05/06/2014,Roxane Gay,An Untamed State
3630,Knopf Doubleday Publishing Group,04/28/2000,Richard Yates,Revolutionary Road
3631,"Grove/Atlantic, Inc.",04/14/2015,Lily King,Euphoria
3632,Sarabande Books,10/10/2017,Emily Fridlund,Catapult
3633,"Little, Brown and Company",04/01/2000,David Foster Wallace,Brief Interviews with Hideous Men
3634,Picador,09/01/2015,John Darnielle,Wolf in White Van
3635,Knopf Doubleday Publishing Group,01/12/2010,David Eagleman,Sum: Forty Tales from the Afterlives
